,FAMILY_INCOME_BRACKET,HOUSEHOLD_SIZE,SES_COMPOSITE_URBANICITY_ADJ,NUM_HS_ATTENDED,SCHOOL_PROBLEM_SCALE,SCHOOL_CLIMATE_SCALE,STUDENT_SCHOOL_MOTIVATION,TOTAL_AP_CREDITS,RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_WRIT_AVG,ACT_SCHOOL_AVG,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,REMEDIAL_COURSE_RATIO,ENROLLMENT_ATTAINMENT_STATUS,SAT_SCHOOL_AVG,HOURS_HOMEWORK
1443,3,7,-0.0843,2,-9.0,-9.0,-0.06,1.0,6,-1.0,-1.0,-1.0,2.0,2.0,2.5,-6,-6,-8.0,-8,-8,-8.0,-8,-12,-11
1444,2,7,0.1311,2,-9.0,-9.0,1.06,0.0,2,2.5,2.0,1.5,2.0,1.5,2.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,4
1445,4,4,0.5851,1,0.3,-1.52,0.18,0.0,5,3.0,3.0,3.0,3.5,3.0,3.5,490,22,2.4,24,20,0.3,2,1030,7
1446,4,5,0.4328,2,-0.17,0.18,0.07,0.0,6,0.5,2.0,1.5,1.0,1.5,1.5,550,22,3.5,13,13,0.2,2,1210,3
1447,4,3,-0.4774,1,0.48,0.13,0.89,1.0,3,3.5,3.0,3.5,3.0,3.0,3.5,440,23,2.1,26,26,0.0,3,960,-2
1448,3,3,0.0707,-8,-8.0,-8.0,-1.54,-8.0,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,3.0,18,18,0.0,1,-12,4
1449,3,4,-0.0667,1,-0.88,0.57,-0.2,0.0,2,2.0,2.0,2.0,2.0,2.0,2.0,-9,-9,3.9,33,27,0.0,3,-18,-5
1450,2,4,-0.6608,1,-0.09,0.06,1.21,0.0,3,3.0,2.5,2.0,2.5,2.0,2.5,510,19,-6.0,-6,-6,-6.0,-6,1010,-4
1451,7,4,-0.2462,1,-1.73,-0.49,0.05,0.0,3,3.5,4.0,3.5,3.5,3.5,3.5,530,22,2.9,28,28,0.0,2,1040,5
1452,-8,-8,-0.0197,1,1.13,-0.46,-8.0,0.0,6,-1.0,-1.0,0.5,1.0,0.5,0.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,3
1453,-8,-8,-0.3177,1,-0.17,1.14,-0.89,0.0,2,2.5,2.5,3.5,3.5,3.0,3.0,-9,-9,1.2,34,19,0.0,1,-18,15
1454,5,4,0.0497,1,0.52,-0.59,0.19,1.0,1,3.5,3.5,4.0,3.5,3.5,4.0,-9,-9,3.2,26,26,0.0,9,-18,6
1455,4,5,-0.3863,1,-0.81,0.71,0.87,2.5,3,3.0,2.5,3.5,3.5,3.0,3.5,470,19,3.3,33,29,0.0,2,1000,3
1456,-8,-8,0.7077,1,-1.66,0.46,-0.87,0.0,3,2.5,2.5,1.5,2.0,2.0,2.0,460,-9,3.4,31,31,0.0,3,940,3
1457,-8,-8,-0.3247,1,-0.92,0.01,0.06,0.0,6,-1.0,3.0,1.5,1.0,1.5,1.5,620,24,-6.0,-6,-6,-6.0,-6,1280,6
1458,11,4,0.7041,1,-1.88,1.12,0.2,0.0,3,3.0,3.5,3.0,3.0,2.5,3.0,570,26,3.2,21,21,0.1,3,1120,8
1459,-8,-8,0.1988,1,1.08,-0.86,0.29,1.0,1,3.5,3.0,3.5,3.5,3.5,3.5,-9,-9,3.1,35,35,0.1,3,-18,6
1460,-8,-8,0.1797,1,-9.0,0.38,-0.11,0.0,6,1.5,2.5,2.5,2.0,2.0,2.0,550,20,-6.0,-6,-6,-6.0,-6,1120,3
1461,4,2,-0.58,1,0.54,-1.63,0.03,5.5,3,2.5,2.0,3.0,2.5,2.5,3.0,-9,17,-7.0,0,0,0.0,1,-18,4
1462,2,2,-0.4478,1,-1.49,0.8,-0.71,0.0,3,2.5,2.0,2.0,2.5,2.0,2.5,540,26,2.8,27,22,0.1,2,1150,7
1463,4,4,-0.5241,1,-0.44,0.75,0.89,1.5,6,3.5,2.5,3.0,3.0,3.0,3.0,450,-9,-6.0,-6,-6,-6.0,-6,1000,6
1464,2,4,-0.7588,1,-0.22,1.1,0.87,0.0,6,2.5,1.5,2.0,1.5,1.5,2.0,-9,20,-6.0,-6,-6,-6.0,-6,-18,-13
